"CATCHMENT","NETWORK","YEAR","MMWR.YEAR","MMWR.WEEK","AGE.CATEGORY","CUMULATIVE.RATE","WEEKLY.RATE"
"New York","EIP",2020,2020,15,"65+ yr",68,16.9
"New York","EIP",2020,2020,10,"65-74 yr",0,0
"New York","EIP",2020,2020,11,"65-74 yr",3.1,3.1
"New York","EIP",2020,2020,12,"65-74 yr",7.1,4
"New York","EIP",2020,2020,13,"65-74 yr",23.1,16
"New York","EIP",2020,2020,14,"65-74 yr",40.9,17.8
"New York","EIP",2020,2020,15,"65-74 yr",56.1,15.1
"New York","EIP",2020,2020,10,"75-84 yr",0.9,0.9
"New York","EIP",2020,2020,11,"75-84 yr",3.6,2.7
"New York","EIP",2020,2020,12,"75-84 yr",17,13.5
"New York","EIP",2020,2020,13,"75-84 yr",38.6,21.5
"New York","EIP",2020,2020,14,"75-84 yr",65.5,26.9
"New York","EIP",2020,2020,15,"75-84 yr",83.4,17.9
"New York","EIP",2020,2020,10,"85+",0,0
"New York","EIP",2020,2020,11,"85+",0,0
"New York","EIP",2020,2020,12,"85+",9.4,9.4
"New York","EIP",2020,2020,13,"85+",31.8,22.4
"New York","EIP",2020,2020,14,"85+",63.6,31.8
"New York","EIP",2020,2020,15,"85+",86,22.4
"Oregon","EIP",2020,2020,10,"0-4 yr",0,0
"Oregon","EIP",2020,2020,11,"0-4 yr",0,0
"Oregon","EIP",2020,2020,12,"0-4 yr",0,0
"Oregon","EIP",2020,2020,13,"0-4 yr",1,1
"Oregon","EIP",2020,2020,14,"0-4 yr",1,0
"Oregon","EIP",2020,2020,15,"0-4 yr",1,0
"Oregon","EIP",2020,2020,10,"5-17 yr",0,0
"Oregon","EIP",2020,2020,11,"5-17 yr",0,0
"Oregon","EIP",2020,2020,12,"5-17 yr",0,0
"Oregon","EIP",2020,2020,13,"5-17 yr",0,0
"Oregon","EIP",2020,2020,14,"5-17 yr",0.4,0.4
"Oregon","EIP",2020,2020,15,"5-17 yr",0.4,0
"Oregon","EIP",2020,2020,10,"18-49 yr",0,0
"Oregon","EIP",2020,2020,11,"18-49 yr",0.2,0.2
"Oregon","EIP",2020,2020,12,"18-49 yr",1.3,1.1
"Oregon","EIP",2020,2020,13,"18-49 yr",2.9,1.7
"Oregon","EIP",2020,2020,14,"18-49 yr",4.4,1.4
"Oregon","EIP",2020,2020,15,"18-49 yr",5.4,1.1
"Oregon","EIP",2020,2020,10,"50-64 yr",0,0
"Oregon","EIP",2020,2020,11,"50-64 yr",0.9,0.9
"Oregon","EIP",2020,2020,12,"50-64 yr",3.6,2.7
"Oregon","EIP",2020,2020,13,"50-64 yr",9.9,6.3
"Oregon","EIP",2020,2020,14,"50-64 yr",17.1,7.2
"Oregon","EIP",2020,2020,15,"50-64 yr",21,3.9
"Oregon","EIP",2020,2020,10,"65-74 yr",0.6,0.6
"Oregon","EIP",2020,2020,11,"65-74 yr",3,2.4
"Oregon","EIP",2020,2020,12,"65-74 yr",6.7,3.7
"Oregon","EIP",2020,2020,13,"65-74 yr",11.6,4.9
"Oregon","EIP",2020,2020,14,"65-74 yr",22,10.4
"Oregon","EIP",2020,2020,15,"65-74 yr",25.6,3.7
"Oregon","EIP",2020,2020,10,"75-84 yr",0,0
"Oregon","EIP",2020,2020,11,"75-84 yr",0,0
"Oregon","EIP",2020,2020,12,"75-84 yr",4.3,4.3
"Oregon","EIP",2020,2020,13,"75-84 yr",14.3,10
"Oregon","EIP",2020,2020,14,"75-84 yr",30.1,15.8
"Oregon","EIP",2020,2020,15,"75-84 yr",44.5,14.3
"Oregon","EIP",2020,2020,10,"85+",0,0
"Oregon","EIP",2020,2020,11,"85+",0,0
"Oregon","EIP",2020,2020,12,"85+",9.7,9.7
"Oregon","EIP",2020,2020,13,"85+",25.8,16.1
"Oregon","EIP",2020,2020,14,"85+",32.3,6.5
"Oregon","EIP",2020,2020,15,"85+",48.4,16.1
"Tennessee","EIP",2020,2020,10,"0-4 yr",0,0
"Tennessee","EIP",2020,2020,11,"0-4 yr",0,0
"Tennessee","EIP",2020,2020,12,"0-4 yr",0,0
"Tennessee","EIP",2020,2020,13,"0-4 yr",0,0
"Tennessee","EIP",2020,2020,14,"0-4 yr",0,0
"Tennessee","EIP",2020,2020,15,"0-4 yr",0.9,0.9
"Tennessee","EIP",2020,2020,10,"5-17 yr",0,0
"Tennessee","EIP",2020,2020,11,"5-17 yr",0,0
"Tennessee","EIP",2020,2020,12,"5-17 yr",0,0
"Tennessee","EIP",2020,2020,13,"5-17 yr",0,0
"Tennessee","EIP",2020,2020,14,"5-17 yr",0.3,0.3
"Tennessee","EIP",2020,2020,15,"5-17 yr",0.3,0
"Tennessee","EIP",2020,2020,10,"18-49 yr",0.1,0.1
"Tennessee","EIP",2020,2020,11,"18-49 yr",0.5,0.4
"Tennessee","EIP",2020,2020,12,"18-49 yr",1.8,1.3
"Tennessee","EIP",2020,2020,13,"18-49 yr",6.4,4.7
"Tennessee","EIP",2020,2020,14,"18-49 yr",10,3.5
"Tennessee","EIP",2020,2020,15,"18-49 yr",13.3,3.3
"Tennessee","EIP",2020,2020,10,"50-64 yr",0,0
"Tennessee","EIP",2020,2020,11,"50-64 yr",0.9,0.9
"Tennessee","EIP",2020,2020,12,"50-64 yr",6.2,5.3
"Tennessee","EIP",2020,2020,13,"50-64 yr",18.3,12.1
"Tennessee","EIP",2020,2020,14,"50-64 yr",34.5,16.2
"Tennessee","EIP",2020,2020,15,"50-64 yr",41.9,7.5
"Tennessee","EIP",2020,2020,10,"65+ yr",0,0
"Tennessee","EIP",2020,2020,11,"65+ yr",2.2,2.2
"Tennessee","EIP",2020,2020,12,"65+ yr",11.1,8.8
"Tennessee","EIP",2020,2020,13,"65+ yr",38.9,27.9
"Tennessee","EIP",2020,2020,14,"65+ yr",78.3,39.3
"Tennessee","EIP",2020,2020,15,"65+ yr",91.1,12.8
"Tennessee","EIP",2020,2020,10,"65-74 yr",0,0
"Tennessee","EIP",2020,2020,11,"65-74 yr",2.2,2.2
"Tennessee","EIP",2020,2020,12,"65-74 yr",12.9,10.8
"Tennessee","EIP",2020,2020,13,"65-74 yr",30.9,18
"Tennessee","EIP",2020,2020,14,"65-74 yr",52.4,21.6
"Tennessee","EIP",2020,2020,15,"65-74 yr",66.8,14.4
"Tennessee","EIP",2020,2020,10,"75-84 yr",0,0
"Tennessee","EIP",2020,2020,11,"75-84 yr",1.6,1.6
"Tennessee","EIP",2020,2020,12,"75-84 yr",9.5,7.9
"Tennessee","EIP",2020,2020,13,"75-84 yr",49.1,39.6
"Tennessee","EIP",2020,2020,14,"75-84 yr",93.4,44.3
"Tennessee","EIP",2020,2020,15,"75-84 yr",106,12.7
"Tennessee","EIP",2020,2020,10,"85+",0,0
"Tennessee","EIP",2020,2020,11,"85+",4.2,4.2
"Tennessee","EIP",2020,2020,12,"85+",4.2,0
"Tennessee","EIP",2020,2020,13,"85+",58.8,54.6
"Tennessee","EIP",2020,2020,14,"85+",188.9,130.2
"Tennessee","EIP",2020,2020,15,"85+",193.1,4.2
"Iowa","IHSP",2020,2020,10,"0-4 yr",0,0
"Iowa","IHSP",2020,2020,11,"0-4 yr",0,0
"Iowa","IHSP",2020,2020,12,"0-4 yr",0,0
"Iowa","IHSP",2020,2020,13,"0-4 yr",0,0
"Iowa","IHSP",2020,2020,14,"0-4 yr",0,0
"Iowa","IHSP",2020,2020,15,"0-4 yr",12,12
"Iowa","IHSP",2020,2020,10,"5-17 yr",0,0
"Iowa","IHSP",2020,2020,11,"5-17 yr",0,0
"Iowa","IHSP",2020,2020,12,"5-17 yr",0,0
"Iowa","IHSP",2020,2020,13,"5-17 yr",0,0
"Iowa","IHSP",2020,2020,14,"5-17 yr",0,0
"Iowa","IHSP",2020,2020,15,"5-17 yr",0,0
"Iowa","IHSP",2020,2020,10,"18-49 yr",0,0
"Iowa","IHSP",2020,2020,11,"18-49 yr",0,0
"Iowa","IHSP",2020,2020,12,"18-49 yr",0,0
"Iowa","IHSP",2020,2020,13,"18-49 yr",0,0
"Iowa","IHSP",2020,2020,14,"18-49 yr",0,0
"Iowa","IHSP",2020,2020,15,"18-49 yr",3.4,3.4
"Iowa","IHSP",2020,2020,10,"50-64 yr",0,0
"Iowa","IHSP",2020,2020,11,"50-64 yr",0,0
"Iowa","IHSP",2020,2020,12,"50-64 yr",0,0
"Iowa","IHSP",2020,2020,13,"50-64 yr",0,0
"Iowa","IHSP",2020,2020,14,"50-64 yr",4.3,4.3
"Iowa","IHSP",2020,2020,15,"50-64 yr",8.6,4.3
"Iowa","IHSP",2020,2020,10,"65+ yr",0,0
"Iowa","IHSP",2020,2020,11,"65+ yr",0,0
"Iowa","IHSP",2020,2020,12,"65+ yr",4.6,4.6
"Iowa","IHSP",2020,2020,13,"65+ yr",4.6,0
"Iowa","IHSP",2020,2020,14,"65+ yr",4.6,0
"Iowa","IHSP",2020,2020,15,"65+ yr",9.2,4.6
"Iowa","IHSP",2020,2020,10,"65-74 yr",0,0
"Iowa","IHSP",2020,2020,11,"65-74 yr",0,0
"Iowa","IHSP",2020,2020,12,"65-74 yr",0,0
"Iowa","IHSP",2020,2020,13,"65-74 yr",0,0
"Iowa","IHSP",2020,2020,14,"65-74 yr",0,0
"Iowa","IHSP",2020,2020,15,"65-74 yr",8.1,8.1
"Iowa","IHSP",2020,2020,10,"75-84 yr",0,0
"Iowa","IHSP",2020,2020,11,"75-84 yr",0,0
"Iowa","IHSP",2020,2020,12,"75-84 yr",15.9,15.9
"Iowa","IHSP",2020,2020,13,"75-84 yr",15.9,0
"Iowa","IHSP",2020,2020,14,"75-84 yr",15.9,0
"Iowa","IHSP",2020,2020,15,"75-84 yr",15.9,0
"Iowa","IHSP",2020,2020,10,"85+",0,0
"Iowa","IHSP",2020,2020,11,"85+",0,0
"Iowa","IHSP",2020,2020,12,"85+",0,0
"Iowa","IHSP",2020,2020,13,"85+",0,0
"Iowa","IHSP",2020,2020,14,"85+",0,0
"Iowa","IHSP",2020,2020,15,"85+",0,0
"Michigan","IHSP",2020,2020,10,"0-4 yr",0,0
"Michigan","IHSP",2020,2020,11,"0-4 yr",0,0
"Michigan","IHSP",2020,2020,12,"0-4 yr",0,0
"Michigan","IHSP",2020,2020,13,"0-4 yr",0,0
"Michigan","IHSP",2020,2020,14,"0-4 yr",0,0
"Michigan","IHSP",2020,2020,15,"0-4 yr",0,0
"Michigan","IHSP",2020,2020,10,"5-17 yr",0,0
"Michigan","IHSP",2020,2020,11,"5-17 yr",0,0
"Michigan","IHSP",2020,2020,12,"5-17 yr",0,0
"Michigan","IHSP",2020,2020,13,"5-17 yr",0.5,0.5
"Michigan","IHSP",2020,2020,14,"5-17 yr",0.5,0
"Michigan","IHSP",2020,2020,15,"5-17 yr",0.5,0
"Michigan","IHSP",2020,2020,10,"18-49 yr",0,0
"Michigan","IHSP",2020,2020,11,"18-49 yr",0,0
"Michigan","IHSP",2020,2020,12,"18-49 yr",1.4,1.4
"Michigan","IHSP",2020,2020,13,"18-49 yr",8.8,7.4
"Michigan","IHSP",2020,2020,14,"18-49 yr",16.2,7.4
"Michigan","IHSP",2020,2020,15,"18-49 yr",20.1,3.9
"Michigan","IHSP",2020,2020,10,"50-64 yr",0,0
"Michigan","IHSP",2020,2020,11,"50-64 yr",1.3,1.3
"Michigan","IHSP",2020,2020,12,"50-64 yr",9.7,8.4
"Michigan","IHSP",2020,2020,13,"50-64 yr",35.7,26
"Michigan","IHSP",2020,2020,14,"50-64 yr",75.1,39.4
"Michigan","IHSP",2020,2020,15,"50-64 yr",95.2,20.1
"Michigan","IHSP",2020,2020,10,"65+ yr",0.5,0.5
"Michigan","IHSP",2020,2020,11,"65+ yr",0.5,0
"Michigan","IHSP",2020,2020,12,"65+ yr",16.3,15.8
"Michigan","IHSP",2020,2020,13,"65+ yr",61.3,44.9
"Michigan","IHSP",2020,2020,14,"65+ yr",126.1,64.9
"Michigan","IHSP",2020,2020,15,"65+ yr",169.5,43.4
"Michigan","IHSP",2020,2020,10,"65-74 yr",0.9,0.9
"Michigan","IHSP",2020,2020,11,"65-74 yr",0.9,0
"Michigan","IHSP",2020,2020,12,"65-74 yr",14.6,13.7
"Michigan","IHSP",2020,2020,13,"65-74 yr",46.3,31.8
"Michigan","IHSP",2020,2020,14,"65-74 yr",99.5,53.2
"Michigan","IHSP",2020,2020,15,"65-74 yr",129.6,30
"Michigan","IHSP",2020,2020,10,"75-84 yr",0,0
"Michigan","IHSP",2020,2020,11,"75-84 yr",0,0
"Michigan","IHSP",2020,2020,12,"75-84 yr",17.9,17.9
"Michigan","IHSP",2020,2020,13,"75-84 yr",77,59.1
"Michigan","IHSP",2020,2020,14,"75-84 yr",141.5,64.5
"Michigan","IHSP",2020,2020,15,"75-84 yr",189.8,48.4
"Michigan","IHSP",2020,2020,10,"85+",0,0
"Michigan","IHSP",2020,2020,11,"85+",0,0
"Michigan","IHSP",2020,2020,12,"85+",21.3,21.3
"Michigan","IHSP",2020,2020,13,"85+",98.1,76.7
"Michigan","IHSP",2020,2020,14,"85+",221.7,123.7
"Michigan","IHSP",2020,2020,15,"85+",319.8,98.1
"Ohio","IHSP",2020,2020,10,"0-4 yr",0,0
"Ohio","IHSP",2020,2020,11,"0-4 yr",0,0
"Ohio","IHSP",2020,2020,12,"0-4 yr",0,0
"Ohio","IHSP",2020,2020,13,"0-4 yr",0,0
"Ohio","IHSP",2020,2020,14,"0-4 yr",0,0
"Ohio","IHSP",2020,2020,15,"0-4 yr",0,0
"Ohio","IHSP",2020,2020,10,"5-17 yr",0,0
"Ohio","IHSP",2020,2020,11,"5-17 yr",0,0
"Ohio","IHSP",2020,2020,12,"5-17 yr",0,0
"Ohio","IHSP",2020,2020,13,"5-17 yr",0,0
"Ohio","IHSP",2020,2020,14,"5-17 yr",0.3,0.3
"Ohio","IHSP",2020,2020,15,"5-17 yr",0.3,0
"Ohio","IHSP",2020,2020,10,"18-49 yr",0,0
"Ohio","IHSP",2020,2020,11,"18-49 yr",0.2,0.2
"Ohio","IHSP",2020,2020,12,"18-49 yr",1,0.7
"Ohio","IHSP",2020,2020,13,"18-49 yr",2.9,1.9
"Ohio","IHSP",2020,2020,14,"18-49 yr",3.7,0.8
"Ohio","IHSP",2020,2020,15,"18-49 yr",3.7,0
"Ohio","IHSP",2020,2020,10,"50-64 yr",0,0
"Ohio","IHSP",2020,2020,11,"50-64 yr",0.3,0.3
"Ohio","IHSP",2020,2020,12,"50-64 yr",1.6,1.3
"Ohio","IHSP",2020,2020,13,"50-64 yr",4.7,3.1
"Ohio","IHSP",2020,2020,14,"50-64 yr",8.6,3.9
"Ohio","IHSP",2020,2020,15,"50-64 yr",8.6,0
"Ohio","IHSP",2020,2020,10,"65+ yr",0,0
"Ohio","IHSP",2020,2020,11,"65+ yr",1.1,1.1
"Ohio","IHSP",2020,2020,12,"65+ yr",5.7,4.7
"Ohio","IHSP",2020,2020,13,"65+ yr",15.4,9.7
"Ohio","IHSP",2020,2020,14,"65+ yr",24.3,8.9
"Ohio","IHSP",2020,2020,15,"65+ yr",25,0.7
"Ohio","IHSP",2020,2020,10,"65-74 yr",0,0
"Ohio","IHSP",2020,2020,11,"65-74 yr",1.8,1.8
"Ohio","IHSP",2020,2020,12,"65-74 yr",6.5,4.7
"Ohio","IHSP",2020,2020,13,"65-74 yr",14.8,8.3
"Ohio","IHSP",2020,2020,14,"65-74 yr",20.7,5.9
"Ohio","IHSP",2020,2020,15,"65-74 yr",21.3,0.6
"Ohio","IHSP",2020,2020,10,"75-84 yr",0,0
"Ohio","IHSP",2020,2020,11,"75-84 yr",0,0
"Ohio","IHSP",2020,2020,12,"75-84 yr",5,5
"Ohio","IHSP",2020,2020,13,"75-84 yr",16.3,11.3
"Ohio","IHSP",2020,2020,14,"75-84 yr",26.4,10
"Ohio","IHSP",2020,2020,15,"75-84 yr",27.6,1.3
"Ohio","IHSP",2020,2020,10,"85+",0,0
"Ohio","IHSP",2020,2020,11,"85+",0,0
"Ohio","IHSP",2020,2020,12,"85+",3.2,3.2
"Ohio","IHSP",2020,2020,13,"85+",16.1,12.9
"Ohio","IHSP",2020,2020,14,"85+",38.6,22.5
"Ohio","IHSP",2020,2020,15,"85+",38.6,0
"Utah","IHSP",2020,2020,10,"0-4 yr",0,0
"Utah","IHSP",2020,2020,11,"0-4 yr",0,0
"Utah","IHSP",2020,2020,12,"0-4 yr",0,0
"Utah","IHSP",2020,2020,13,"0-4 yr",0,0
"Utah","IHSP",2020,2020,14,"0-4 yr",0,0
"Utah","IHSP",2020,2020,15,"0-4 yr",0,0
"Utah","IHSP",2020,2020,10,"5-17 yr",0,0
"Utah","IHSP",2020,2020,11,"5-17 yr",0,0
"Utah","IHSP",2020,2020,12,"5-17 yr",0,0
"Utah","IHSP",2020,2020,13,"5-17 yr",0,0
"Utah","IHSP",2020,2020,14,"5-17 yr",0,0
"Utah","IHSP",2020,2020,15,"5-17 yr",0,0
"Utah","IHSP",2020,2020,10,"18-49 yr",0,0
"Utah","IHSP",2020,2020,11,"18-49 yr",0.4,0.4
"Utah","IHSP",2020,2020,12,"18-49 yr",0.9,0.6
"Utah","IHSP",2020,2020,13,"18-49 yr",1.7,0.7
"Utah","IHSP",2020,2020,14,"18-49 yr",3,1.3
"Utah","IHSP",2020,2020,15,"18-49 yr",5.8,2.8
"Utah","IHSP",2020,2020,10,"50-64 yr",0,0
"Utah","IHSP",2020,2020,11,"50-64 yr",0,0
"Utah","IHSP",2020,2020,12,"50-64 yr",1.7,1.7
"Utah","IHSP",2020,2020,13,"50-64 yr",9.7,8
"Utah","IHSP",2020,2020,14,"50-64 yr",16.5,6.8
"Utah","IHSP",2020,2020,15,"50-64 yr",22.2,5.7
"Utah","IHSP",2020,2020,10,"65+ yr",0,0
"Utah","IHSP",2020,2020,11,"65+ yr",0,0
"Utah","IHSP",2020,2020,12,"65+ yr",4.8,4.8
"Utah","IHSP",2020,2020,13,"65+ yr",8.8,4
"Utah","IHSP",2020,2020,14,"65+ yr",16,7.2
"Utah","IHSP",2020,2020,15,"65+ yr",21.6,5.6
"Utah","IHSP",2020,2020,10,"65-74 yr",0,0
"Utah","IHSP",2020,2020,11,"65-74 yr",0,0
"Utah","IHSP",2020,2020,12,"65-74 yr",3.9,3.9
"Utah","IHSP",2020,2020,13,"65-74 yr",7.8,3.9
"Utah","IHSP",2020,2020,14,"65-74 yr",9.2,1.3
"Utah","IHSP",2020,2020,15,"65-74 yr",13.1,3.9
"Utah","IHSP",2020,2020,10,"75-84 yr",0,0
"Utah","IHSP",2020,2020,11,"75-84 yr",0,0
"Utah","IHSP",2020,2020,12,"75-84 yr",8.6,8.6
"Utah","IHSP",2020,2020,13,"75-84 yr",14.3,5.7
"Utah","IHSP",2020,2020,14,"75-84 yr",37.1,22.9
"Utah","IHSP",2020,2020,15,"75-84 yr",40,2.9
"Utah","IHSP",2020,2020,10,"85+",0,0
"Utah","IHSP",2020,2020,11,"85+",0,0
"Utah","IHSP",2020,2020,12,"85+",0,0
"Utah","IHSP",2020,2020,13,"85+",0,0
"Utah","IHSP",2020,2020,14,"85+",0,0
"Utah","IHSP",2020,2020,15,"85+",22,22
